FIPS,Socioeconomic,HouseholdCompDisab,MinorityLang,HousingTransp,Total
3011600,0.9032,0.2532,0.9476,0.885,0.8882
3011700,0.3879,0.031,0.6056,0.3941,0.2471
3011800,0.9097,0.215,0.9823,0.6724,0.8388
3011900,0.4936,0.0719,0.5897,0.7557,0.4878
3012000,0.9028,0.157,0.9827,0.6092,0.8091
3012100,0.27699999999999997,0.0204,0.5942,0.4623,0.1828
3012200,0.9718,0.2598,0.9592,0.7194,0.8803
3012600,0.7969,0.0648,0.8792,0.5760000000000001,0.655
3012700,0.7998,0.4628,0.7012,0.9416,0.8631
3012801,0.8349,0.8476,0.9066,0.6059,0.8795
3012901,0.2339,0.0264,0.4868,0.4279,0.1402
3012902,0.35,0.037000000000000005,0.5025,0.8073,0.3564
3013000,0.7876,0.3478,0.7429,0.8763,0.8228
3013100,0.1736,0.0692,0.434,0.6467,0.2259
3013200,0.7884,0.7071,0.8693,0.5771,0.8245
3013300,0.1051,0.0717,0.3429,0.4509,0.1149
3013400,0.5186,0.0857,0.6212,0.925,0.6176
3013500,0.1417,0.1592,0.42100000000000004,0.4745,0.2137
3013600,0.599,0.3817,0.5647,0.5271,0.5803
3013700,0.4074,0.1128,0.4854,0.8191,0.4755
3013800,0.6015,0.3176,0.7031,0.7066,0.66
3013900,0.1768,0.039,0.4579,0.593,0.1865
3014000,0.3912,0.3468,0.6592,0.8036,0.5977
3014100,0.3643,0.0316,0.5008,0.9438,0.4392
3014200,0.5626,0.1871,0.58,0.4126,0.4668
3014300,0.3651,0.0584,0.6142,0.8765,0.4766
3014500,0.3684,0.0287,0.6421,0.8036,0.3857
3014700,0.4894,0.4729,0.6237,0.4028,0.5228
3014800,0.6473,0.4624,0.4367,0.18899999999999997,0.4398
3014900,0.2186,0.0921,0.34,0.9644,0.4089
3015000,0.317,0.5696,0.5988,0.21899999999999997,0.3672
3015100,0.0649,0.1121,0.4206,0.9316,0.3324
3015200,0.3663,0.4827,0.5839,0.7781,0.5838
3015300,0.195,0.0556,0.3421,0.6254,0.1948
3015400,-999.0,-999.0,-999.0,-999.0,-999.0
3015500,0.1409,0.1221,0.3452,0.39,0.1463
3015700,0.04,0.0425,0.2856,0.6382,0.0938
3015900,0.0943,0.0347,0.2322,0.9171,0.1965
3016000,0.4729,0.0518,0.7194,0.6339,0.4465
3016100,0.2105,0.0543,0.48,0.787,0.3012
3016200,0.3736,0.1452,0.3532,0.8442,0.4444
3016300,0.26,0.0587,0.5138,0.9726,0.4683
3016400,0.1136,0.3678,0.5586,0.6461,0.3591
3016500,0.0172,0.0851,0.2654,0.6616,0.1131
3016600,0.1745,0.1737,0.4751,0.0562,0.0795
3016700,0.005,0.1824,0.4324,0.564,0.1631
3016800,0.258,0.8519,0.6899,0.1446,0.4106
3016900,0.1884,0.0915,0.5169,0.4258,0.2116
3017000,0.649,0.4818,0.8369,0.3423,0.632
3017100,0.1351,0.3055,0.4633,0.4586,0.2624
3017200,0.6059,0.1691,0.8375,0.386,0.5467
3017400,0.5866,0.6117,0.7412,0.3465,0.6122
3017500,-999.0,-999.0,-999.0,-999.0,-999.0
3017600,0.8456,0.7059,0.8134,0.5661,0.8365
3017700,-999.0,-999.0,-999.0,-999.0,-999.0
3017800,0.7874,0.298,0.9124,0.8728,0.8417
3017900,0.7070000000000001,0.7895,0.6984,0.8465,0.8483
3018000,0.6366,0.4405,0.8627,0.4254,0.6531
