gispropnum,q1,q2,q3,q4,budsum
B311,0,5,11,119,135
M193,1533,802,1507,2228,6070
Q313,1940,60,135,0,2135
X194,139,254,393,207,993
M242,9,397,48,815,1269
X222,738,841,172,1435,3186
Q405,1535,187,328,260,2310
Q211,192,199,866,281,1538
X115,784,1999,1723,1051,5557
X273,2530,356,327,227,3440
Q407,682,571,417,1080,2750
M213,443,154,134,385,1116
X272,81,150,88,522,841
X087,11763,599,3567,886,16815
B287,8036,58,28,116,8238
B347,798,9468,436,246,10948
B320,1195,1948,656,1375,5174
M215,665,878,419,419,2381
B223IA,0,0,0,0,0
R086,182,258,0,310,750
M233,139,467,574,412,1592
X021,560,92,249,1560,2461
X247,648,572,379,583,2182
M183,7985,305,101,86,8477
Q427,464,241,21,775,1501
Q421,292,184,0,221,697
Q436,1562,699,380,1035,3676
B277,867,767,486,286,2406
B353,0,0,5,0,5
B102,1627,574,1705,821,4727
B255K,42,74,176,111,403
B315,781,860,542,465,2648
B307,108,413,52,891,1464
R009,0,0,29,27,56
B361,366,117,49,350,882
B397,102,78,292,128,600
Q385,2111,824,1104,575,4614
B321,471,4640,256,196,5563
B223E,3,0,42,0,45
B340,216,52,31,7694,7993
B363,320,93,297,126,836
B367,458,92,0,58,608
B339,264,112,517,422,1315
B292,436,1496,7046,1615,10593
X238,0,0,0,0,0
X148L1,79,1109,0,124,1312
R012,902,1271,334,258,2765
R027A,1551,77,114,553,2295
Q399,1645,2068,1422,339,5474
B098,527,583,28,77,1215
X207,256,1522,268,110,2156
X085,708,1490,481,1115,3794
B348,469,534,155,184,1342
M108P,0,1042,327,158,1527
B001,74,1064,4636,445,6219
X243,224,39,37,161,461
Q067A,2883,1799,830,750,6262
Q025,0,0,0,0,0
Q291,257,242,14,464,977
B220,245,511,981,323,2060
R062,736,671,882,81,2370
B313,66,452,297,274,1089
Q289,90,28,0,139,257
M235,99,600,0,135,834
M208A,1847,871,1226,1194,5138
M035,0,383,15,110,508
Q408,327,251,503,281,1362
Q212,927,494,47,99,1567
Q357B01,1550,459,28,1120,3157
B332,4,53,452,633,1142
B107,79,73,1664,156,1972
B099,442,265,535,0,1242
B306,1824,592,501,629,3546
X017,1391,2375,968,1284,6018
R127,0,0,0,0,0
M241,46,113,0,430,589
B536,66,2083,4,380,2533
B261,139,4411,452,655,5657
X208,21,28,65,0,114
Q357I,0,42,92,0,134
M244,1791,358,466,251,2866
B316,0,284,0,878,1162
M321,7,42,0,5,54
Q357J,21,69,135,89,314
M239,581,1479,615,997,3672
X211,79,44,271,337,731
Q028A,612,561,392,238,1803
X146,6429,570,628,441,8068
Q419,1324,26,173,749,2272
X120,585,153,705,287,1730
X162,2751,2156,321,779,6007
M041,2328,509,1106,4735,8678
Q322,532,468,2756,83,3839
Q395,43,171,80,419,713
B345,29,198,38,805,1070
M243,0,52,138,155,345
B304,1416,2894,2307,603,7220
R107,0,0,0,0,0
M236,2971,606,1933,592,6102
Q429,1059,229,589,375,2252
X206,6310,170,0,3120,9600
B167A,35,35,14,218,302
R032,0,0,0,0,0
M054,0,202,29,261,492
M204,0,147,136,555,838
Q338,889,179,85,369,1522
M124,61,1542,29,208,1840
X105,673,598,1575,335,3181
Q037,0,564,313,0,877
X348,617,377,181,409,1584
B223R,50,860,643,1030,2583
Q354,94,285,2913,406,3698
X042,4254,636,253,290,5433
M184,29,52,301,1209,1591
B257,621,111,579,169,1480
B255E,0,4,111,42,157
R095,0,0,0,0,0
B210J,2495,918,1086,487,4986
X059,230,75,59,56,420
M219,1510,197,2938,1076,5721
X082,22,0,0,0,22
X174,4688,393,454,1356,6891
Q205B,3860,59,56,419,4394
R083,0,0,0,29,29
X032,867,35,157,319,1378
M046,0,126,29,4,159
M238,421,9794,1156,466,11837
R165,0,0,29,0,29
X200,1476,828,633,391,3328
X161,7774,644,199,487,9104
X113,306,314,78,915,1613
X265,939,542,457,713,2651
X228,34,37,92,0,163
B317,172,13,0,768,953
B149B,40,5,252,35,332
B255C,265,0,0,7,272
X106,282,241,15,408,946
X257,689,376,69,362,1496
Q041,735,1480,1712,843,4770
B300,217,398,394,409,1418
Q416,0,0,28,0,28
Q397,310,616,594,444,1964
M160,7999,1269,996,887,11151
M063,3105,5488,3955,2789,15337
B246,312,72,74,160,618
B288,647,1287,194,1164,3292
B283,552,94,104,336,1086
X164,3536,1998,252,325,6111
M064,112,550,12,107,781
M148,635,52,79,1038,1804
M379,29,619,0,142,790
B173,40,40,0,60,140
M211A,141,50,471,575,1237
M240,600,1375,292,219,2486
Q457,249,102,0,116,467
M211B,43,2257,601,1392,4293
X170,1432,1058,382,522,3394
M286,563,497,292,103,1455
B162,47,298,288,936,1569
M155,6496,102,411,227,7236
R100,56,0,0,153,209
X053,0,30,0,113,143
X175,410,829,266,456,1961
M069,1696,573,3131,3864,9264
X148A3,71,273,297,287,928
B223F,0,0,0,0,0
Q013,107,595,103,130,935
Q376,0,0,0,235,235
X258,116,646,154,62,978
B149A,21,33,49,6,109
M108Q,2620,1443,915,270,5248
X295,192,400,967,43,1602
M228,127,464,0,189,780
M120A,0,26,29,19,74
M285,1314,827,76,131,2348
M249,203,45,74,2280,2602
B326,2002,396,111,319,2828
B402,2451,79,35,300,2865
M108N,380,18,530,52,980
B161,208,295,218,775,1496
Q120,1394,370,87,273,2124
M277,1217,406,79,407,2109
B207,1158,792,197,169,2316
Q444,0,859,0,298,1157
M234,676,747,398,536,2357
Q038,292,52,3291,222,3857
Q225,0,0,0,0,0
M018,0,232,164,591,987
X269,276,74,407,80,837
B209,1209,923,403,742,3277
B223S,339,215,58,84,696
B137,261,348,569,305,1483
M259,24,372,10,2039,2445
Q262,0,0,0,0,0
Q326,45,107,0,236,388
X102,1547,1732,409,1234,4922
B095,229,412,111,212,964
M395,0,10,23,34,67
M221,0,256,0,103,359
X299,46,0,0,0,46
Q035,83,0,0,0,83
R099,0,0,14,0,14
B208,154,153,0,154,461
B297,84,1651,504,545,2784
Q122,759,402,563,368,2092
B312,794,1031,158,97,2080
X216,554,495,244,80,1373
B168,0,94,164,77,335
